Symbol,Company,MarketCap,TrailingPE,ForwardPE,EPS,DebtToEquity,,,,,,,,,,,
HLT,Hilton Worldwide Holdings Inc.,63.53B,39.669086,34.20776,6.89,,,,,,,,,,,,
HOLX,"Hologic, Inc.",16.49B,29.759035,15.699153,2.49,49.682,,,,,,,,,,,
HON,Honeywell International Inc.,123.21B,20.493137,17.626703,9.47,215.247,,,,,,,,,,,
HOOD,"Robinhood Markets, Inc.",117.22B,54.316666,178.57533,2.4,188.794,,,,,,,,,,,
HPE,Hewlett Packard Enterprise Company,30.94B,27.588236,11.166668,0.85,96.967,,,,,,,,,,,
HPQ,HP Inc.,24.56B,9.556364,7.3,2.75,,,,,,,,,,,,
HRL,Hormel Foods Corporation,12.12B,16.080292,13.035503,1.37,35.301,,,,,,,,,,,
HSIC,"Henry Schein, Inc.",8.46B,22.681389,13.826924,3.17,70.224,,,,,,,,,,,
HST,"Host Hotels & Resorts, Inc.",12.43B,16.83019,18.391752,1.06,82.827,,,,,,,,,,,
HSY,The Hershey Company,34.60B,25.502241,20.310715,6.69,125.764,,,,,,,,,,,
HUBB,Hubbell Incorporated,24.58B,28.901875,26.096502,16,58.21,,,,,,,,,,,
HUM,Humana Inc.,30.31B,23.577175,14.966745,10.69,69.686,,,,,,,,,,,
HWM,Howmet Aerospace Inc.,83.18B,58.214085,65.19243,3.55,65.176,,,,,,,,,,,
IBKR,"Interactive Brokers Group, Inc.",119.91B,34.077297,10.208394,2.07,145.38,,,,,,,,,,,
IBM,International Business Machines Corporation,286.38B,36.51728,28.876534,8.39,237.831,,,,,,,,,,,
ICE,"Intercontinental Exchange, Inc.",84.96B,27.189781,22.106825,5.48,67.954,,,,,,,,,,,
IDXX,"IDEXX Laboratories, Inc.",56.57B,56.181606,59.23495,12.61,71.29,,,,,,,,,,,
IEX,IDEX Corporation,12.57B,26.57595,19.713615,6.32,48.121,,,,,,,,,,,
IFF,International Flavors & Fragrances Inc.,15.88B,,13.449023,-1.85,46.872,,,,,,,,,,,
INCY,Incyte Corporation,20.81B,17.962711,17.260588,5.9,0.887,,,,,,,,,,,
INTC,Intel Corporation,181.88B,635.50006,39.309277,0.06,39.881,,,,,,,,,,,
INTU,Intuit Inc.,180.90B,47.39591,29.188034,13.69,,,,,,,,,,,,
INVH,Invitation Homes Inc.,17.17B,29.484211,37.851353,0.95,85.691,,,,,,,,,,,
IP,International Paper Company,20.12B,,12.7,-1.18,60.126,,,,,,,,,,,
IPG,"The Interpublic Group of Companies, Inc.",9.33B,21.576271,9.258182,1.18,110.56,,,,,,,,,,,
IQV,IQVIA Holdings Inc.,35.84B,28.988981,17.43662,7.26,242.366,,,,,,,,,,,
IR,Ingersoll Rand Inc.,30.62B,57.407406,21.892656,1.35,47.62,,,,,,,,,,,
IRM,Iron Mountain Incorporated,30.78B,192.81482,53.122448,0.54,,,,,,,,,,,,
ISRG,"Intuitive Surgical, Inc.",198.52B,74.07407,71.24682,7.56,,,,,,,,,,,,
IT,"Gartner, Inc.",16.62B,20.119547,17.480669,11.46,512.089,,,,,,,,,,,
