Symbol,Security,Sector,Headquarters
OKE,Oneok,Energy,"Tulsa, Oklahoma"
ORCL,Oracle,Information Technology,"Austin, Texas"
OGN,Organon & Co.,Health Care,"Jersey City, New Jersey"
OTIS,Otis Worldwide,Industrials,"Farmington, Connecticut"
PCAR,Paccar,Industrials,"Bellevue, Washington"
PKG,Packaging Corporation of America,Materials,"Lake Forest, Illinois"
PH,Parker-Hannifin,Industrials,"Cleveland, Ohio"
PAYX,Paychex,Information Technology,"Penfield, New York"
PAYC,Paycom,Information Technology,"Oklahoma City, Oklahoma"
PYPL,PayPal,Information Technology,"San Jose, California"
PENN,Penn National Gaming,Consumer Discretionary,"Wyomissing, Pennsylvania"
PNR,Pentair,Industrials,"Worsley, England"
PBCT,People's United Financial,Financials,"Bridgeport, Connecticut"
PEP,PepsiCo,Consumer Staples,"Purchase, New York"
PKI,PerkinElmer,Health Care,"Waltham, Massachusetts"
PFE,Pfizer,Health Care,"New York City, New York"
PM,Philip Morris International,Consumer Staples,"New York City, New York"
PSX,Phillips 66,Energy,"Houston, Texas"
PNW,Pinnacle West Capital,Utilities,"Phoenix, Arizona"
PXD,Pioneer Natural Resources,Energy,"Irving, Texas"
PNC,PNC Financial Services,Financials,"Pittsburgh, Pennsylvania"
POOL,Pool Corporation,Consumer Discretionary,"Covington, Louisiana"
PPG,PPG Industries,Materials,"Pittsburgh, Pennsylvania"
PPL,PPL,Utilities,"Allentown, Pennsylvania"
PFG,Principal Financial Group,Financials,"Des Moines, Iowa"
PG,Procter & Gamble,Consumer Staples,"Cincinnati, Ohio"
PGR,Progressive Corporation,Financials,"Mayfield Village, Ohio"
PLD,Prologis,Real Estate,"San Francisco, California"
PRU,Prudential Financial,Financials,"Newark, New Jersey"
PTC,PTC,Information Technology,"Boston, Massachusetts"
PEG,Public Service Enterprise Group,Utilities,"Newark, New Jersey"
PSA,Public Storage,Real Estate,"Glendale, California"
PHM,PulteGroup,Consumer Discretionary,"Atlanta, Georgia"
PVH,PVH,Consumer Discretionary,"New York City, New York"
QRVO,Qorvo,Information Technology,"Greensboro, North Carolina"
PWR,Quanta Services,Industrials,"Houston, Texas"
QCOM,Qualcomm,Information Technology,"San Diego, California"
DGX,Quest Diagnostics,Health Care,"Secaucus, New Jersey"
RL,Ralph Lauren Corporation,Consumer Discretionary,"New York City, New York"
RJF,Raymond James Financial,Financials,"St. Petersburg, Florida"
RTX,Raytheon Technologies,Industrials,"Waltham, Massachusetts"
O,Realty Income Corporation,Real Estate,"San Diego, California"
REG,Regency Centers,Real Estate,"Jacksonville , Florida"
REGN,Regeneron Pharmaceuticals,Health Care,"Tarrytown, New York"
RF,Regions Financial Corporation,Financials,"Birmingham, Alabama"
